hour_utc,avg_volume,avg_range,count
16,170.0450824,998.1833333333333,30
17,159.00726768666667,837.893333333333,30
15,158.636818828,1154.656666666666,30
14,128.47722990966665,919.1666666666666,30
20,126.35800187833334,687.500000000001,30
18,123.76644351366667,712.1366666666673,30
19,109.70010825366667,598.2133333333327,30
0,88.40045319633333,733.0633333333336,30
21,86.172980815,675.7666666666671,30
12,81.25797500933335,500.43999999999943,30
2,76.46935246566666,609.4133333333341,30
13,72.72782261633333,627.8600000000006,30
1,68.915850559,604.1666666666666,30
7,66.429156657,531.8766666666663,30
10,65.585592468,407.66666666666475,30
23,64.47763018333333,600.2366666666693,30
9,62.363526887000006,495.593333333332,30
22,60.914267474999995,614.7433333333335,30
8,60.13833412933333,424.72333333333273,30
3,57.665399326451606,455.4193548387106,31
4,54.114379892,514.3100000000015,30
11,51.60244831166666,493.0466666666655,30
6,48.772529234333334,433.5566666666661,30
5,45.071295502666665,443.4566666666661,30
